IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-04-08 00:00:00,34.2881,-116.9133,2266,0.01,0,-4.7,6,16.7,-18.2,3.3,17.76,261.865,27.025549,1016.1,966.8,4.1,10.7,San Bernardino County,1440622
2012-04-08 00:00:00,34.2942,-117.3786,1209,0.1,0,4.8,14,23.1,-13.1,6.11,26.56,123.5875,19.895164,1016.4,967.4,3.8,11.1,San Bernardino County,1440622
2012-04-09 00:00:00,36.2942,-117.9989,1107,0.3,0,2.6,14.3,26.1,-12.1,4.22,28.77,256.975,30.605896,1013.5,945.5,6.7,15,Inyo County,14646
2012-04-09 00:00:00,37.5325,-118.59,1967,0,0,-3.9,7.7,19.2,-20.6,3.26,21.14,137.73,28.409235,1013.3,928.6,7.6,16.8,Mono County,11223
2012-04-10 00:00:00,32.8189,-116.5847,1239,0.1,0,4.2,14.3,24.4,-3.4,3.01,26.01,92.4975,22.607836,1011.9,994.3,5.3,14,San Diego County,2371145
2012-04-13 00:00:00,39.6881,-121.34,902,0.1,20.45,1.7,4.1,6.5,1.9,0.11,1.74,135.4625,22.219818,1007.8,915.3,9.2,19,Butte County,173832
2012-04-15 00:00:00,33.5589,-117.3486,647,0.01,0.07,3.7,7.6,11.5,3.1,0.16,5.96,66.7825,19.873348,1019.3,995.7,5.2,14.6,Riverside County,1569533
2012-04-15 00:00:00,33.6528,-117.4497,1091,0.01,0,0.7,5.4,10.2,1.3,0,4.12,113.485,20.451035,1019.3,995.2,5.1,14.6,Orange County,2273573
2012-04-18 00:00:00,39.4192,-121.0189,904,0.1,0,5.7,12.3,19,2.7,2.29,14.43,104.8575,27.633755,1018.2,926.8,6.5,12.5,Sierra County,2688
2012-04-19 00:00:00,33.7081,-117.52,1058,0.42,0,11.4,17.8,24.2,4,3.83,22.23,134.43,17.643826,1013.6,990,6.4,13.8,Orange County,2273573
2012-04-20 00:00:00,39.415,-121.9969,24,0.5,0,13.4,20.3,27.3,12.7,1.67,20.74,296.3475,42.573524,1017,1007.1,4.5,10.8,Glenn County,20257
2012-04-21 00:00:00,32.8411,-116.6314,1065,0.1,0,11.6,21.6,31.6,5.1,5.03,39.76,135.785,13.545729,1012.1,988.2,3.6,9.9,San Diego County,2371145
2012-04-22 00:00:00,33.7383,-116.7325,1685,0.1,0,9.8,19.6,29.3,0.8,5.9,36.77,166.6625,13.260518,1011,977.9,4.7,11.4,Riverside County,1569533
